"timeMillisSpent","score"
63,"0hard/-3600soft"
137,"0hard/-3500soft"
161,"0hard/-3400soft"
187,"0hard/-3300soft"
195,"0hard/-3250soft"
210,"0hard/-3200soft"
219,"0hard/-3150soft"
252,"0hard/-3100soft"
256,"0hard/-3050soft"
258,"0hard/-3000soft"
261,"0hard/-2950soft"
263,"0hard/-2900soft"
280,"0hard/-2850soft"
319,"0hard/-2500soft"
349,"0hard/-2400soft"
351,"0hard/-2350soft"
351,"0hard/-2300soft"
351,"0hard/-2200soft"
414,"0hard/-2050soft"
415,"0hard/-2000soft"
454,"0hard/-1950soft"
465,"0hard/-1900soft"
468,"0hard/-1850soft"
469,"0hard/-1800soft"
480,"0hard/-1750soft"
511,"0hard/-1700soft"
538,"0hard/-1650soft"
544,"0hard/-1550soft"
668,"0hard/-1500soft"
693,"0hard/-1400soft"
694,"0hard/-1350soft"
700,"0hard/-1300soft"
701,"0hard/-1250soft"
786,"0hard/-1200soft"
792,"0hard/-1150soft"
843,"0hard/-1050soft"
1001,"0hard/-1000soft"
1090,"0hard/-950soft"
1092,"0hard/-900soft"
1094,"0hard/-850soft"
1192,"0hard/-800soft"
1209,"0hard/-750soft"
1465,"0hard/-700soft"
