"timeMillisSpent","score"
57,"0hard/-3600soft"
394,"0hard/-3250soft"
410,"0hard/-3150soft"
463,"0hard/-3000soft"
602,"0hard/-2950soft"
614,"0hard/-2650soft"
628,"0hard/-2450soft"
642,"0hard/-2400soft"
679,"0hard/-2300soft"
913,"0hard/-2150soft"
1011,"0hard/-2100soft"
1096,"0hard/-2050soft"
1108,"0hard/-2000soft"
2276,"0hard/-1850soft"
2927,"0hard/-1700soft"
3571,"0hard/-1500soft"
3590,"0hard/-1350soft"
3635,"0hard/-1200soft"
3843,"0hard/-1100soft"
3893,"0hard/-950soft"
4263,"0hard/-900soft"
4273,"0hard/-800soft"
