"timeMillisSpent","score"
167,"-400hard/-3500soft"
183,"-300hard/-3650soft"
366,"-100hard/-51900soft"
533,"-50hard/-55450soft"
568,"0hard/-63250soft"
568,"0hard/-63100soft"
601,"0hard/-60700soft"
666,"0hard/-60450soft"
668,"0hard/-60400soft"
668,"0hard/-60300soft"
668,"0hard/-60150soft"
678,"0hard/-60100soft"
683,"0hard/-60000soft"
683,"0hard/-59800soft"
683,"0hard/-59650soft"
683,"0hard/-59600soft"
683,"0hard/-59450soft"
684,"0hard/-59050soft"
684,"0hard/-58800soft"
685,"0hard/-58550soft"
696,"0hard/-58250soft"
729,"0hard/-58200soft"
730,"0hard/-58150soft"
730,"0hard/-58050soft"
730,"0hard/-57850soft"
730,"0hard/-57700soft"
731,"0hard/-57650soft"
746,"0hard/-57600soft"
746,"0hard/-57350soft"
746,"0hard/-57100soft"
746,"0hard/-56850soft"
767,"0hard/-56800soft"
774,"0hard/-56650soft"
774,"0hard/-56400soft"
774,"0hard/-56300soft"
774,"0hard/-56200soft"
774,"0hard/-56150soft"
774,"0hard/-56000soft"
783,"0hard/-55900soft"
784,"0hard/-55750soft"
784,"0hard/-55650soft"
785,"0hard/-55600soft"
785,"0hard/-55550soft"
793,"0hard/-55450soft"
794,"0hard/-55400soft"
794,"0hard/-55300soft"
794,"0hard/-55050soft"
806,"0hard/-55000soft"
834,"0hard/-54950soft"
834,"0hard/-54850soft"
843,"0hard/-54600soft"
843,"0hard/-54450soft"
848,"0hard/-54400soft"
848,"0hard/-54100soft"
855,"0hard/-54000soft"
885,"0hard/-53900soft"
885,"0hard/-53850soft"
885,"0hard/-53750soft"
886,"0hard/-53600soft"
897,"0hard/-53400soft"
906,"0hard/-53250soft"
907,"0hard/-53200soft"
908,"0hard/-53150soft"
920,"0hard/-53100soft"
922,"0hard/-53050soft"
922,"0hard/-52900soft"
922,"0hard/-52850soft"
934,"0hard/-52750soft"
934,"0hard/-52500soft"
934,"0hard/-52300soft"
951,"0hard/-52150soft"
952,"0hard/-52100soft"
952,"0hard/-51950soft"
952,"0hard/-51800soft"
965,"0hard/-51700soft"
965,"0hard/-51450soft"
975,"0hard/-51400soft"
975,"0hard/-51250soft"
976,"0hard/-50950soft"
977,"0hard/-50900soft"
1002,"0hard/-50600soft"
1027,"0hard/-50550soft"
1027,"0hard/-50450soft"
1027,"0hard/-50350soft"
1027,"0hard/-50200soft"
1053,"0hard/-49950soft"
1053,"0hard/-49850soft"
1091,"0hard/-49800soft"
1092,"0hard/-49600soft"
1092,"0hard/-49350soft"
1105,"0hard/-49200soft"
1106,"0hard/-49100soft"
1129,"0hard/-49050soft"
1130,"0hard/-49000soft"
1156,"0hard/-48850soft"
1156,"0hard/-48800soft"
1156,"0hard/-48650soft"
1181,"0hard/-48450soft"
1181,"0hard/-48400soft"
1192,"0hard/-48300soft"
1193,"0hard/-48200soft"
1206,"0hard/-48150soft"
1206,"0hard/-48050soft"
1230,"0hard/-48000soft"
1231,"0hard/-47900soft"
1254,"0hard/-47850soft"
1255,"0hard/-47800soft"
1258,"0hard/-47700soft"
1269,"0hard/-47650soft"
1269,"0hard/-47450soft"
1271,"0hard/-47400soft"
1271,"0hard/-47300soft"
1271,"0hard/-47200soft"
1301,"0hard/-47150soft"
1301,"0hard/-47000soft"
1367,"0hard/-46850soft"
1368,"0hard/-46750soft"
1368,"0hard/-46650soft"
1397,"0hard/-46600soft"
1407,"0hard/-46500soft"
1420,"0hard/-46450soft"
1421,"0hard/-46400soft"
1421,"0hard/-46150soft"
1421,"0hard/-46000soft"
1465,"0hard/-45950soft"
1465,"0hard/-45800soft"
1479,"0hard/-45500soft"
1480,"0hard/-45400soft"
1555,"0hard/-45300soft"
1559,"0hard/-45250soft"
1559,"0hard/-45100soft"
1618,"0hard/-44850soft"
1618,"0hard/-44700soft"
1664,"0hard/-44650soft"
1668,"0hard/-44450soft"
1684,"0hard/-44400soft"
1714,"0hard/-44350soft"
1732,"0hard/-44250soft"
1755,"0hard/-44200soft"
1756,"0hard/-44100soft"
1759,"0hard/-43750soft"
1760,"0hard/-43650soft"
1770,"0hard/-43600soft"
1771,"0hard/-43550soft"
1805,"0hard/-43500soft"
1835,"0hard/-43400soft"
1887,"0hard/-43200soft"
1887,"0hard/-43050soft"
1906,"0hard/-42900soft"
1924,"0hard/-42700soft"
1937,"0hard/-42600soft"
1937,"0hard/-42450soft"
1967,"0hard/-42400soft"
1993,"0hard/-42350soft"
1994,"0hard/-41850soft"
2077,"0hard/-41750soft"
